Domain,area,keywords,Abstract
biochemistry , Human Metabolism  , Chimeric mouse; liver; (uPA plus / plus )/SCID; human hepatocyte; metabolism        ,"1. A model that predicts human metabolism and disposition of drug candidates would be of value in early drug development. 2. In this study, a chimeric (uPA+/+)/SCID mouse model was evaluated with three structurally distinct compounds (GW695634, a benzophenone, SB-406725, a tetrahydroisoquinoline and GW823093, a fluoropyrrolidine) for which human metabolism and disposition was characterized. Human metabolite profiles in plasma and/or urine were compared to those of chimeric (uPA+/+)/SCID and control CD-1 or (uPA+/+)/SCID) mice. GW695634 and SB-406725 exhibited primarily hepatic metabolism and were chosen as probes to assess which human metabolites would likely circulate systemically. GW823093 exhibited a combination of hepatic and extrahepatic metabolism such that renal excretion of drug-related material was similar to 2-fold greater in humans than in mice, and thus chosen as a probe to assess if the chimeric (uPA+/+)/SCID mouse would predict the urinary excretion of human metabolites. 3. We observed that human metabolism and disposition was well represented for GW695634, somewhat represented for GW823093 and minimally represented for SB-406725. Collectively, the results of this and other studies suggest that while limitations for prediction of human metabolism and disposition exist, humanized chimeric mouse models can potentially represent informative new tools in drug discovery and development."
biochemistry , Human Metabolism  , Chimeric mouse; chymase inhibitor; clinical study; cytochrome P450; SCID mouse; UDP-glucuronosyltransferase        ,"1. A novel oral chymase inhibitor, SUN13834, is under clinical development for the treatment of atopic dermatitis (AD). In this study, in vitro and in vivo metabolic profiles of SUN13834 were compared between severe combined immunodeficiency (SCID) mice, chimeric mice with humanized liver and humans. 2. In in vitro experiments using liver microsomes, predominant metabolites of SUN13834 were glucuronide (MG-1) in SCID mice and hydroxylated metabolite (M-3) in chimeric mice and humans. 3. After a single oral dose of [C-14]SUN13834 to SCID and chimeric mice, glucuronidation was the major metabolic pathway in SCID mice, while the parent compound, ring opening form (M-5), O-demethylated form of M-5 (M-6) and glucuronidation of M-6 (M-6G) were detected at higher levels in chimeric mice compared to SCID mice. 4. When AD patients were orally treated using SUN13834 for 28 days, the parent compound had the highest concentration in plasma, and M-6, M-6G, M-5 and MG-1 were identified as major metabolites. 5. This is the first report of SUN13834 metabolic information in human. In addition, based on similarities in metabolic profiles between chimeric mice and humans, it was concluded that chimeric mice are useful for predicting SUN13834 metabolism in humans during early stages of drug development."
Psychology  , Prenatal development  , female alternative morphotype; female masculinization; maternal effects; reproductive traits; social context        ,"1. Alternative morphotypes have been reported less frequently in females than in males. An exception to this rule is the gradient of phenotypical masculinization reported in some female mammals, in which feminized and masculinized females represent two opposite ends along this gradient. These phenotypical differences originate during prenatal development as the consequence of maternal effects. Feminized and masculinized females differ in several traits, including morphological, physiological, behavioural and reproductive traits. 2. Differences previously reported in reproductive traits between feminized and masculinized females come mostly from mechanistic studies performed in the laboratory, and not necessarily on social species. As a result, it is unclear to what extent these reported differences between female alternative morphotypes materialize in wild, natural populations. 3. We quantified the effect of female alternative morphotype on female reproductive traits in a natural population of Octodon degus, a highly social rodent. We assessed female alternative morphotype through a continuous gradient of anogenital distance. Thus, feminized females were close to the short end of anogenital distance, while masculinized females were close to the long end of this gradient. We also tested the hypothesis that the social environment interacts with female morphotype to influence female reproductive traits. 4. In female degus, only body weight affected litter size, where heavier females weaned more offspring. Masculinized females delivered male-biased litters and weaned heavier offspring. Lastly, masculinized females gave birth later in the breeding season compared to feminized females. 5. Contrary to previous claims, our findings do not support that masculinized females are less fertile than feminized females. Moreover, masculinized females produced heavier, potentially higher quality offspring compared with feminized females."
biochemistry , Northern blotting  , angiotensin II; losartan; renovascular hypertension; tissue-specific inhibitor of metalloproteinase-2        ,"1. Angiotensin (Ang) II plays a major role in vascular remodelling. Matrix metalloproteinases (MMPs) and their tissue inhibitors (TIMPs) are involved in the tissue remodelling processes. The aim of the present study was to investigate whether AngII modulates TIMP-2 expression in rat aortic smooth muscle cells in vivo. 2. Angiotensin II (200 ng/kg per min, s.c.) or AngII + losartan (10 mg/kg per day, s.c.) or normal saline was administered continuously by osmotic minipumps to Sprague-Dawley rats for 1 week. In addition, the effect of endogenous AngII on TIMP-2 expression was evaluated in renovascular hypertensive rats (two kidney, one clip (2K1C) and one kidney, one clip (1K1C) models). Control rats (sham 2K1C and sham 1K1C rats) underwent sham-clipping of the left renal artery. At the end of the treatment, plasma renin activity was measured by radioimmunoassay, aortic TIMP-2 mRNA expression was evaluated by real-time polymerase chain reaction and/or northern blotting and protein expression was evaluated by immunohistochemistry. Systolic blood pressure (SBP) was measured twice a week by the tail-cuff method. 3. Exogenous AngII administration produced the expected increase in SBP (P = 0.02) compared with the control saline-treated group. The increase in SBP was abolished in AngII + losartan-treated rats. Administration of AngII caused a significant increase in TIMP-2 expression (P = 0.01) in rat aortic smooth muscle cells that was abolished in AngII + losartan-treated rats. In renovascular hypertensive rats, SBP was higher (P < 0.0001) in 2K1C and 1K1C rats compared with the corresponding sham-operated rats. Plasma renin activity was higher (P < 0.01) in 2K1C rats compared with the other groups. The expression of TIMP-2 was significantly (P < 0.05) increased only in 2K1C rats. 4. Our in vivo data demonstrate that exogenous and endogenous AngII increases TIMP-2 expression in rat aortic smooth muscle cells. This effect is not dependent on the AngII-induced increase in blood pressure and is mediated by angiotensin AT(1) receptors."
CS , Operating systems  , biodiversity surveys; camera trapping; data management; detection history; monitoring; occupancy models; photo trapping; spatial capture-recapture models; wildlife studies        ,"1. Camera trapping is a widely applied method to study mammalian biodiversity and is still gaining popularity. It can quickly generate large amounts of data which need to be managed in an efficient and transparent way that links data acquisition with analytical tools. 2. We describe the free and open-source R package camtrapR, a new toolbox for flexible and efficient management of data generated in camera trap-based wildlife studies. The package implements a complete workflow for processing camera trapping data. It assists in image organization, species and individual identification, data extraction from images, tabulation and visualization of results and export of data for subsequent analyses. There is no limitation to the number of images stored in this data management system; the system is portable and compatible across operating systems. 3. The functions provide extensive automation to minimize data entry mistakes and, apart from species and individual identification, require minimal manual user input. Species and individual identification are performed outside the R environment, either via tags assigned in dedicated image management software or by moving images into species directories. 4. Input for occupancy and (spatial) capture-recapture analyses for density and abundance estimation, for example in the R packages unmarked or secr, is computed in a flexible and reproducible manner. In addition, survey summary reports can be generated, spatial distributions of records can be plotted and exported to GIS software, and single-and two-species activity patterns can be visualized. 5. camtrapR allows for streamlined and flexible camera trap data management and should be most useful to researchers and practitioners who regularly handle large amounts of camera trapping data."
ECE , Microcontroller  , applied ecology; disease ecology; incubator; microbial ecology; replication; thermal biology        ,"1. Commercially available fluctuating-temperature chambers are large and costly. This poses a challenge to experimental ecologists endeavouring to recreate natural temperature cycles in the laboratory because the large number of commercial chambers required for replicated study designs is prohibitively expensive to purchase, requires a large amount of space and consumes a great deal of energy. 2. We developed and validated a design for economical, programmable fluctuating-temperature chambers based on a relatively small (23 L) commercially manufactured constant temperature chamber ($140US) modified with a customized, user-friendly microcontroller ($15US). 3. Over a 1-week trial, these chambers reliably reproduced a real-world fluctuating (13.1-35.5 degrees C) body temperature regime of an individual frog, with a near-perfect 1 : 1 fit between target and actual temperatures (y = 1.0036x + 0.1366, R-2 = 0.9977, 95% confidence interval for slope = 1.0026, 1.0046). Over 30-day trials, they also reliably produced a simpler daily fluctuating-temperature scheme (sine wave fluctuating between 10 and 25 degrees C each 24 h) and a range of constant temperature regimes. 4. The design is inexpensive and simple to assemble in large numbers, enabling genuine replication of even highly complex, many treatment study designs. For example, it is possible to simultaneously examine in replicate chambers the responses of organisms to constant regimes, regimes that fluctuate following the means experienced by populations and regimes that exactly mimic fluctuations measured over any length of time for particular individuals that differ in behaviour or microhabitat use. These chambers thus vastly expand the pool of resources available for manipulative experiments in thermal biology and ecology."
biochemistry , Enzymology  , Cyadox; pigs; cyadox monoxide; N-oxides; N-oxide reduction; non-enzymatic reduction        ,"1. Cyadox is a novel quinoxaline-1,4-dioxide with the potential for development as a substitute for the banned veterinary drugs carbadox and olaquindox. In this paper, using pigs as the test subjects, the metabolic mechanism of cyadox N-oxide reduction in liver is demonstrated. 2. There exist two metabolic mechanisms for the N-oxide reduction of cyadox, the enzymatic and non-enzymatic routes. It is found that cyadox can be enzymatically reduced to 4-cyadox monoxide and 1-cyadox monoxide; this process is catalyzed by aldehyde oxidase and xanthine oxidase in the cytosol and by cytochrome b5 reductase in the microsomes. On the other hand, cyadox is only reduced to 4-cyadox monoxide in the non-enzymatic reduction mediated by heme groups of catalase and cytochrome P450s. 3. We supposed that, owing to the position of the side chain in cyadox, the 1-N-oxide and 4-N-oxide bonds in the quinoxaline ring had different biochemical activities, which caused cyadox to be shunted to the distinct metabolic mechanisms. Additionally, this research gives the first evidence of FAD- and NAD(P)H-dependent non-enzymatic catalase reduction of a heterocyclic N-oxide. The research provides a basic foundation for the formulation of safety controls for animal products and the properties and metabolism of heterocyclic N-oxides."
Psychology  , Attention  , Daphnetin; COMT inhibitor; 8-O-methyldaphnetin; ligand-protein interaction; Phase II metabolite; structural modification        ,"1. Finding and developing inhibitors of catechol-O-methyltransferase (COMT) from natural products is highly recommended. Daphnetin, a naturally occurring catechol from the family thymelaeaceae, has a chemical structure similar to several potent COMT inhibitors reported previously. Here the potential of daphnetin and its Phase II metabolites as inhibitors of COMT was investigated with human liver cytosol (HLC). 2. Daphnetin and its methylated metabolite (8-O-methyldaphnetin) were found to inhibit COMT-mediated dopamine O-methylation in a dose-dependent manner. The IC50 values for daphnetin (0.51 similar to 0.53 mu M) and 8-O-methyldaphnetin (22.5 similar to 24.3 mu M) were little affected by changes in HLC concentrations. Further kinetic analysis showed the differences in inhibition type and parameters (K-i) between daphnetin (competitive, 0.37 mu M) and 8-O-methyldaphnetin (noncompetitive, 25.7 mu M). Other metabolites, including glucuronidated and sulfated species, showed negligible inhibition against COMT. By using in vitro-in vivo extrapolation (IV-IVE), a 24.3-fold increase in the exposure of the COMT substrates was predicted when they are co-administrated with daphnetin. 3. With high COMT-inhibiting activity, daphnetin could serve as a lead compound for the design and development of new COMT inhibitors. Also, much attention should be paid to the clinical impact of combination of daphnetin and herbal preparations containing daphnetin with the drugs primarily cleared by COMT."
biochemistry , Immunology  , Asecodes; cellular defence; ecological immunology; Galerucella; host-parasitoid interactions; host-pathogen evolution        ,"1. Host-parasitoid systems are characterized by a continuous development of new defence strategies in hosts and counter-defence mechanisms in parasitoids. This co-evolutionary arms race makes host-parasitoid systems excellent for understanding trade-offs in host use caused by evolutionary changes in host immune responses and parasitoid virulence. However, knowledge obtained from natural host-parasitoid systems on such trade-offs is still limited. 2. In this study, the aim was to examine trade-offs in parasitoid virulence in Asecodes parviclava (Hymenoptera: Eulophidae) when attacking three closely related beetles: Galerucella pusilla, Galerucella calmariensis and Galerucella tenella (Coleoptera: Chrysomelidae). A second aim was to examine whether geographic variation in parasitoid infectivity or host immune response could explain differences in parasitism rate between northern and southern sites. 3. More specifically, we wanted to examine whether the capacity to infect host larvae differed depending on the previous host species of the parasitoids and if such differences were connected to differences in the induction of host immune systems. This was achieved by combining controlled parasitism experiments with cytological studies of infected larvae. 4. Our results reveal that parasitism success in A. parviclava differs both depending on previous and current host species, with a higher virulence when attacking larvae of the same species as the previous host. Virulence was in general high for parasitoids from G. pusilla and low for parasitoids from G. calmariensis. At the same time, G. pusilla larvae had the strongest immune response and G. calmariensis the weakest. These observations were linked to changes in the larval hemocyte composition, showing changes in cell types important for the encapsulation process in individuals infected by more or less virulent parasitoids. 5. These findings suggest ongoing evolution in parasitoid virulence and host immune response, making the system a strong candidate for further studies on host race formation and speciation."
ECE , Satellite radio  , animal movement; area-restricted search; Argos satellite tracking; first-passage time analysis; GPS tracking; habitat-use quantification; spatial scale        ,"1. How and at what spatial scale(s) animals change their movements in relation to their environment is central to several topics in ecology and conservation, including foraging ecology, habitat selection and dispersal. A method (first-passage time analysis, FPT) has recently been proposed to measure changes in movements through the landscape, as an index of search effort at the pertinent spatial scales. This method seems largely applicable to an increasing number of studies using satellite, radio-tracking or global positioning system (GPS), but its limits have not yet been assessed. 2. Here I used several movement simulations to examine the ability of FPT analysis to detect area-restricted search (ARS) according to different changes in movements, different patch structures and tracking accuracy. 3. FPT analysis was able to detect changes in movements when both speed and sinuosity changed, or when the animal reacted to patch boundaries. It was also able to detect ARS within the same path at several spatial scales in patches (nested or not) of different sizes. 4. Tracking accuracy affected the detection of ARS by FPT analysis. With the widely used Argos system, a minimum of 13 locations in effective ARS was necessary to detect this behaviour; seven when velocity filtering was applied. Similarly, spatial error in location affected the estimation of the ARS scale value, but the application of velocity filtering reduced this effect. 5. Comparisons between a real GPS track and pathways simulating the Argos error showed that the time-sampling rate of locations (due to satellite-pass frequency) decreased the probability of detecting ARS at small scales (50% across the whole range of scales. A velocity filter enabled significant reductions in this effect. 6. Synthesis and application. Within limits, FPT analysis is highly suitable for animal movement analysis, either to quantify habitat use, or to determine the scale most relevant for describing an ecological system or factors affecting movement decisions. In anticipation of increasing applications of FPT analysis in applied ecology, I provide recommendations for the use of the technique with several tracking methods."
biochemistry , Northern blotting  , ATP binding cassette (ABC) transporter; cloning; digoxin intoxication; mouse; mRNA        ,"1. Human ABCA8, a new member of the ATP binding cassette (ABC) transporter family, transports certain lipophilic drugs, such as digoxin. To investigate the roles of this transporter, we cloned a mouse homologue of ABCA8, from a mouse heart cDNA library, named ABCA8a. 2. The deduced mouse ABCA8a protein is 66% identical with that of human ABCA8 and possesses features common to the ABC superfamily. It was found that ABCA8a was mainly expressed in the liver and heart, similar to human ABCA8. 3. We further evaluated the effect of acute digoxin (a substrate for ABCA8) intoxication on the mRNA expression of ABCA8 using northern blotting with a 3' non-coding region as a probe to avoid cross-hybridization with other ABCA genes. 4. Following acute digoxin infusion, the mRNA expression of ABCA8 was significantly reduced in the liver 12-24 h after injection (14.7% of vehicle treatment), but not in the heart and kidney. 5. Real-time quantitative polymerase chain reaction analysis confirmed the reduction in ABCA8a mRNA. Similar reductions in ABCA5, ABCA7, ABCA8b and ABCA9 mRNA were also observed. A comparable amount of digitoxin did not affect ABCA8a mRNA expression in the liver. 6. The results suggest that ABCA8 may play a role in digoxin metabolism in the liver."
biochemistry , Human Metabolism  , Aldehyde oxidase; cytochrome P450; human liver; human-chimeric mice; mouse liver; rat-chimeric mice; zaleplon        ,"1. Human chimeric mice (h-PXB mice) having humanized liver, constructed by transplantation of human hepatocytes, were evaluated as an experimental model for predicting human drug metabolism. Metabolism of zaleplon in h-PXB mice was compared with that in rat chimeric mice (r-PXB mice) constructed by transplantation of rat hepatocytes. 2. Zaleplon is metabolized to 5-oxo-zaleplon by aldehyde oxidase and to desethyl-zaleplon by cytochrome P450 (CYP3A4) in rat and human liver preparations. 3. Liver S9 fraction of h-PXB mice metabolized zaleplon to 5-oxo-zaleplon and desethylzaleplon in similar amounts. However, liver S9 fractions of r-PXB and control (urokinase-type plasminogen activator-transgenic severe combined immunodeficient) mice predominantly metabolized zaleplon to desethyl-zaleplon. 5-Oxo-zaleplon was detected as a minor metabolite. 4. Oxidase activity of h-PXB mouse liver cytosol toward zaleplon was about 10-fold higher than that of r-PXB or control mice. In contrast, activities for desethyl-zaleplon formation were similar in liver microsomes from these mice, as well as rat and human liver microsomes. 5. In vivo, the level of 5-oxo-zaleplon in plasma of h-PXB mice was about 7-fold higher than that in r-PXB or control mice, in agreement with the in vitro data. Thus, aldehyde oxidase in h-PXB mice functions as human aldehyde oxidase, both in vivo and in vitro. 6. In contrast, the plasma level of desethyl-zaleplon in r-PXB and control mice was higher than that in h-PXB mice. 7. These results suggest h-PXB mice with humanized liver could be a useful experimental model to predict aldehyde oxidase-and CYP3A4-mediated drug metabolism in humans."
biochemistry , Human Metabolism  , Drug metabolism; human-chimeric mice; human liver; mouse liver; phase I enzymes; phase II enzymes; rat-chimeric mice        ,"1. Human-chimeric mice with humanized liver have been constructed by transplantation of human hepatocytes into several types of mice having genetic modifications that injure endogenous liver cells. Here, we focus on liver urokinase-type plasminogen activator-transgenic severe combined immunodeficiency (uPA/SCID) mice, which are the most widely used human-chimeric mice. Studies so far indicate that drug metabolism, drug transport, pharmacological effects and toxicological action in these mice are broadly similar to those in humans. 2. Expression of various drug-metabolizing enzymes is known to be different between humans and rodents. However, the expression pattern of cytochrome P450, aldehyde oxidase and phase II enzymes in the liver of human-chimeric mice resembles that in humans, not that in the host mice. 3. Metabolism of various drugs, including S-warfarin, zaleplon, ibuprofen, naproxen, coumarin, troglitazone and midazolam, in human-chimeric mice is mediated by human drug-metabolizing enzymes, not by host mouse enzymes, and thus resembles that in humans. 4. Pharmacological and toxicological effects of various drugs in human-chimeric mice are also similar to those in humans. 5. The current consensus is that chimeric mice with humanized liver are useful to predict drug metabolism catalyzed by cytochrome P450, aldehyde oxidase and phase II enzymes in humans in vivo and in vitro. Some remaining issues are discussed in this review."
biochemistry , Genetics  , carbon; ecosystem function; ecosystem structure; genotypic diversity; genotypic variation; grassland; intraspecific diversity; soil nutrients; water        ,"1. Individual plant genotypes as well as genotypic diversity can shape the structure and function of ecosystems; however, the abiotic environment may modify these genotypic influences on ecosystem-level responses. 2. To explore how the interactions between plant genotype, genotypic diversity and soil nutrient availability affect the structure and function of a temperate grassland ecosystem, we manipulated the genotypic diversity of a common perennial herbaceous plant, Solidago altissima (single genotype monoculture and diversity plots) and soil nutrient availability (+nitrogen, +phosphorus, +nitrogen and +phosphorus, unmanipulated control) in a common garden setting. We tracked temporal changes in ecosystem structure (e.g. leaf area index and net primary productivity) as well as a variety of ecosystem functions (e.g. net ecosystem carbon and water exchange and soil carbon efflux) over a growing season. 3. We found that variation in plant genotype identity consistently shaped ecosystem structure (above-ground net primary productivity) while it inconsistently altered several ecosystem functions across time. For instance, variation in plant genotype identity influenced net ecosystem carbon dynamics early in the growing season while it influenced water dynamics later in the growing season. The strength of the relationship between genotypic diversity and ecosystem function declined over the season and the relationship between ecosystem structure (above-ground net primary productivity) and function (net ecosystem carbon and water exchange) varied across treatments. Overall, there was a strong correlation between ecosystem structure and function across monoculture genotype plots but a weak relationship between ecosystem structure and function across mixed genotype plots. Surprisingly, soil nutrients did not influence ecosystem structure and had minimal impacts on carbon and water flux. 4. Our data suggest that plant genetic variation, and to some extent plant genotypic diversity, strongly influence ecosystem structure and function in an old-field ecosystem, but nutrient availability did not directly or interactively influence ecosystem structure or function."
Civil , Green Building  , social innovation; schools of sustainability; Jevons Paradox; occupant behavior; ecological thinking in architecture        ,"1. INTRODUCTION Sustainability has been defined as the need to preserve existing natural resources so that the earth is able to continue to provide these resources for future generations. Put more simply, a sustainable system is one that survives or persists (Costanza and Patten, 1995). In order to ensure the sustainability of architectural and building activity, it is essential that work in this field is conducted in accordance with the canons of basic ecology and, in addition, that its members seek to address certain cultural and relational characteristics that typify the way we live today. Architecture as a discipline combines technology and art; however, with the advent of ""sustainable architecture"" additional concepts from the fields of ecology, sociology, and philosophy have been incorporated. Yet, the fundamental problem is that the meanings of both the classical and the new concepts remain ambiguous, their significance shifting with our cultural evolution. Hence, the traditional Vitruvian values of architecture (beauty, structure and utility) are no longer so obvious, especially when we are required to think in terms of sustainability. Although the question as to why architecture matters has been answered in a variety of ways (Glaeser, 2011), it is our contention that in the 21st century architecture will matter more than ever, because by 2050 most of the world's population will be concentrated in cities. As a result, the sustainability of dwellings and cities has acquired undeniable importance. Two interacting forces influence all populations. One is the Malthusian dynamic of exponential growth until environmental limits are reached (Figure 1). The second is the Darwinian dynamics of innovation and adaptation that circumvent these limits through biological or cultural evolution. Nekola et al., in 2013 reported that the specific manifestation of these two forces in our current society provide the context that establishes how humans may develop sustainable relationships within our finite planet (Figure 2). Consequently, a permanent and indefinite growth is impossible due to the physical and biological imperatives of our finite world. Biologists and architects and constructors usually inhabit different worlds. The latter innovate, deploy, and apply their techno-science based designs; the first, study the finite nature, propose hypotheses, and gather their evidence. And, to date, there is little to suggest that copying nature purports any advantages to architects, primarily because fully autonomous buildings or towns have yet to be built. According to the described Malthusian-Darwinian dynamic, the two critical questions that we seek to address in this paper are: i) What is the essence of a sustainable dwelling? and ii) What principles should be adhered to in making a dwelling sustainable? In other words, this study aims to elucidate the essence of sustainability in green building design implementation."
Civil , Green Building  , Sustainability; Energy Conservation; Passive Design; Building Use; Climate Zones        ,"1. INTRODUCTION The emergence of environmental problems as major social issues throughout the world has prompted sustainable development efforts in a wide range of areas, including industry, construction, and transportation, followed by the execution of numerous studies and policies. The concept of sustainable development has been dealt with in earnest in the construction field since the Declaration of Interdependence for a Sustainable Future at the 18th Chicago Convention of UIA in 1993. This Declaration included tasks to be implemented with respect to green buildings, such as the recycling of resources, application of energy-efficient designs, and utilization of natural energy in addition to the application of sustainable designs. As part of green building practices, countries around the world have been implementing various green building certification standards, such as LEED, GBCC, CASBEE, and BREEAM. These certification standards prescribe the criteria relating to the external environment, energy conservation, materials and resources, and the indoor environment, with energy conservation being the top priority for each of these issues. This is due to energy consumption in building operation accounting for more than half of the building life cycle cost. Accordingly, although many studies are undertaken for the purpose of developing the means for conserving energy in relation to green buildings, the majority of these studies are concentrated on the development of technologies for environmental facilities through the application of active designs. study the finite nature, propose hypotheses, and gather their evidence. And, to date, there is little to suggest that copying nature purports any advantages to architects, primarily because fully autonomous buildings or towns have yet to be built. According to the described Malthusian-Darwinian dynamic, the two critical questions that we seek to address in this paper are: i) What is the essence of a sustainable dwelling? and ii) What principles should be adhered to in making a dwelling sustainable? In other words, this study aims to elucidate the essence of sustainability in green building design implementation."
Civil , Water Pollution  , marine; freshwater; Red List; springs; coral reef    pond; lagoon    conservation assessment      ,"1. Invertebrates inhabiting marine and freshwater ecosystems make important contributions to global biodiversity and provide significant services that have cascading effects across ecosystems. However, this group is grossly under-represented in assessments of conservation status and often neglected in targeted aquatic conservation efforts. 2. In global assessments of 7857 freshwater invertebrates and 2864 marine invertebrates, 30-34% were considered Data Deficient highlighting the paucity of information for making such assessments. Of the invertebrate groups that could be assessed, those with poor dispersal abilities and high local endemism, such as many gastropods, crayfish and mussels, are the most threatened. 3. Springs and subterranean hydrological systems support the highest proportions of threatened freshwater species, while in marine environments coral reefs, lagoons and anchialine systems are particularly vulnerable. 4. Key agents of biodiversity decline in aquatic ecosystems are water pollution, overexploitation and harvesting, habitat degradation and destruction, alien invasive species, and climate change. Effects of dams and water management along with pollution from urban, agricultural and forestry sources are the main threats in freshwater ecosystems, whereas a broad range of factors have impacts on marine invertebrates, including biological resource use. 5. Significant impediments facing conservation of aquatic invertebrates are limited knowledge of their diversity, the need for broadscale actions to account for connectivity within and across ecosystems, lack of political will and investment, and the prospect that conditions may get worse before they improve, possibly not in time to save some already highly imperilled invertebrate species from extinction. Copyright (C) 2016 John Wiley & Sons, Ltd."
MAE , Hydraulics  , elevated CO2; eucalyptus; genotype; leaf economics; leaf hydraulics; photosynthetic capacity; trait coordination        ,"1. Leaf economics and hydraulic traits strongly influence photosynthesis. While the level of coordination among these traits can differ between sets of species, leaf functional trait coordination within species remains poorly understood. Furthermore, elevated concentrations of atmospheric CO2 commonly influence the expression of leaf photosynthetic, economics and hydraulic traits in contrasting ways, yet the effect of variable concentrations of atmospheric CO2 on patterns of trait coordination within species remains largely untested. 2. We examined the relationships among key leaf photosynthetic (e. g. net photosynthesis and photosynthetic biochemistry), economics and water-use (e. g. leaf mass per unit area and stomatal conductance) and hydraulic traits (e. g. vein density) in 14 genotypes of Eucalyptus camaldulensis grown in ambient (aCO(2)) and elevated (eCO(2)) [CO2]. We examined the level of coordination among leaf traits in aCO(2) and then assessed whether growth in eCO(2) altered that coordination. 3. We found that leaf traits related to photosynthetic capacity, economics and water-use, and hydraulics were decoupled among genotypes grown in aCO(2), yet strong relationships were generally observed among suites of traits within each 'functional group'. 4. Significant responses to growth in eCO(2) were observed for most leaf photosynthetic and economics and water-use traits, with the magnitude and direction of the response varying among traits. In contrast, leaf hydraulics traits were unaffected by variable growth CO2. Despite this, growth in eCO(2) did not substantially alter patterns of leaf trait coordination observed in aCO(2). 5. These results suggest suites of leaf traits associated with photosynthetic capacity, economics and water-use and hydraulics, respectively, can form independent axes of variation among genotypes of a single species, regardless of growth CO2. Although growth in eCO(2) did not substantially alter patterns of trait coordination, decoupling of leaf functional traits among genotypes may allow genetically distinct populations to produce novel combinations of traits that may be adaptive in response to changes in their local environment."
Medical , Hepatitis C  , CYP3A1; disposition; docetaxel; liver injury; magnesium isoglycyrrhizinate; P-gp        ,"1. Magnesium isoglycyrrhizinate (MgIg) has been extensively used in treating liver injury which is the common adverse reaction of docetaxel (DOC). Due to the narrow therapeutic window, small changes in pharmacokinetic profiles can alter the toxicity and therapeutic efficacy of DOC significantly. The study aimed to explore the effects of MgIg on the disposition of DOC and the potential mechanism in DOC-induced liver injury. 2. Pharmacokinetics and tissues distribution behaviors showed that there was no significant difference between DOC group (DOCG) and MgIg+DOC group (MDOCG). The mRNA and protein levels of cytochrome P450 3A1 (CYP3A1) in liver, intestine, and kidney were significantly upregulated, and the P-glycoprotein (P-gp) was obviously downregulated in MDOCG when compared with DOCG. 3. Immunoglobulin M (IgM), CD8+ were upregulated in DOCG; while in MDOCG, IgM, CD8+ recovered to normal levels and complement C-3; CD4+ were upregulated. 4. MgIg had no significant effects on the disposition of DOC in docetaxel-induced liver injury. Additional, potential drug-drug interaction may happen if MgIg co-administered with antitumor drugs which are the substrates of CYP3A4 or P-gp. Hepatoprotective mechanism of MgIg perhaps was through upregulation of C-3, CD4+ and downregulation of IgM, CD8+."
biochemistry , Human Metabolism  , ABT-107; cytochrome P450; FMO; species difference        ,"1. Metabolism of ABT-107 was investigated in in vitro hepatic systems, in rat and monkey receiving [C-14] ABT-107, and in vivo plasma in rat, dog, monkey and human. 2. In in vitro hepatic systems, ABT-107 was primarily cleared via oxidative metabolism, and proceeded via two parallel pathways. Pathway 1, ABT-107 was oxidized at the nitrogen of quinuclidine moiety to form M1. Pathway 2, oxidation occurred at indole-containing moiety to form M2. Metabolism via N-oxidation was predominant in dog and rat, while in monkey and human, metabolism proceeded primarily via oxidation of indole-containing moiety. 3. ABT-107 was extensively metabolized in vivo in rat and monkey. M1 was primarily found in rat urine and bile; whereas, M2 was the major metabolite in monkey urine and feces. M1 was the predominant circulating metabolite in dog and rat. M2 was the primary circulating metabolite in monkey and human. 4. Enzymatic studies suggested M1 formation was primarily mediated by renal FMO1. CYP3A4, 1A2, 2J2 and 2D6 were primary enzymes catalyzing M2 formation. 5. Biotransformation of ABT-107 in human and monkey is markedly different from that in dog and rat, suggesting that monkey is an appropriate model for predicting human biotransformation and toxicology of ABT-107."
biochemistry , Molecular biology  , Disposition; homoharringtonine; mepesuccinate; metabolism; metabolites; metabolite profiling; omacetaxine; pharmacokinetics        ,"1. Omacetaxine mepesuccinate (hereafter referred to as omacetaxine) is a protein translation inhibitor approved by the US Food and Drug Administration for adult patients with chronic myeloid leukemia with resistance and/or intolerance to two or more tyrosine kinase inhibitors. 2. The objective was to investigate the metabolite profile of omacetaxine in plasma, urine and faeces samples collected up to 72h after a single 1.25-mg/m(2) subcutaneous dose of C-14-omacetaxine in cancer patients. 3. High-performance liquid chromatography mass spectrometry (MS) (high resolution) in combination with off-line radioactivity detection was used for metabolite identification. 4. In total, six metabolites of omacetaxine were detected. The reactions represented were mepesuccinate ester hydrolysis, methyl ester hydrolysis, pyrocatechol conversion from the 1,3-dioxole ring. Unchanged omacetaxine was the most prominent omacetaxine-related compound in plasma. In urine, unchanged omacetaxine was also dominant, together with 4'-DMHHT. In feces very little unchanged omacetaxine was found and the pyrocatechol metabolite of omacetaxine, M534 and 4'-desmethyl homoharringtonine (4'-DMHHT) was the most abundant metabolites. 5. Omacetaxine was extensively metabolized, with subsequent renal and hepatic elimination of the metabolites. The low levels of the metabolites found in plasma indicate that the metabolites are unlikely to contribute materially to the efficacy and/or toxicity of omacetaxine."
